NOME;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;FASE;TURMA;SINALIZADOR_INGRESSANTE;IDADE_ALUNO;GÊNERO;PEDRA;ATINGIU_PV;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;IPV;IAN;NIVEL_IDEAL;DEFASAGEM
ALUNO-422;2021;Escola Pública;Escola Pública;Escola Pública;0;Q;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.96;9.0;10.0;7.5;7.2;8.4;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;7.7;5;NÃ­vel 2 (5o e 6o ano);-2.0
ALUNO-423;2021;Escola Pública;Escola Pública;Escola Pública;5;F;Ingressante;15;INFO INDISPONÍVEL;Quartzo;INGRESSANTE;3.15;0.0;1.7;5.0;1.5;6.9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;NÃ£o avaliado;4.2;5;NÃ­vel 7 (3o EM);-2.0
ALUNO-424;2021;Escola Pública;Escola Pública;Escola Pública;2;I;Veterano;13;INFO INDISPONÍVEL;Ágata;QUEDA;5.99;9.0;5.0;7.5;4.5;7.3;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;6.1;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-425;2021;Escola Pública;Escola Pública;Escola Pública;3;F;Veterano;14;INFO INDISPONÍVEL;Ágata;MANTIDO;6.64;9.2;6.4;7.5;5.5;7.1;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;6.9;5;NÃ­vel 4 (9o ano);-1.0
ALUNO-432;2021;Escola Pública;Escola Pública;Escola Pública;0;I;Veterano;9;INFO INDISPONÍVEL;Quartzo;INGRESSANTE;4.95;9.0;6.7;5.0;2.6;2.5;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;4.8;5;NÃ­vel 2 (5o e 6o ano);-2.0
ALUNO-435;2021;Escola Pública;Escola Pública;Escola Pública;5;B;Veterano;17;INFO INDISPONÍVEL;Quartzo;QUEDA;4.17;6.7;4.7;0.0;3.0;7.5;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;Promovido de Fase;3.5;5;NÃ­vel 7 (3o EM);-2.0
ALUNO-436;2021;Escola Pública;Escola Pública;Escola Pública;2;J;Ingressante;12;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.74;9.5;8.8;7.5;6.3;8.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.4;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-437;2021;Escola Pública;Escola Pública;Escola Pública;2;P;Veterano;10;INFO INDISPONÍVEL;Ágata;QUEDA;6.48;8.5;5.0;7.5;4.0;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;6.6;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-438;2021;Escola Pública;Escola Pública;Escola Pública;5;B;Ingressante;15;INFO INDISPONÍVEL;Ágata;INGRESSANTE;5.76;9.2;5.3;7.5;2.8;7.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;6.1;5;NÃ­vel 7 (3o EM);-2.0
ALUNO-440;2021;Escola Pública;Escola Pública;Escola Pública;5;B;Ingressante;15;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.38;8.3;8.1;7.5;6.7;8.1;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;7.7;5;NÃ­vel 6 (2o EM);-1.0
