NOME;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;RA;FASE;TURMA;Ano nasc;IDADE_ALUNO;GÊNERO;Ano ingresso;Pedra 20;Pedra 21;PEDRA;INDE;ATINGIU_PV;STATUS_PEDRA;TESTE;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;Avaliador3;Rec Av3;Avaliador4;Rec Av4;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Matem;Portug;Inglês;Indicado;Atingiu PV;IPV;IAN;FASE IDEAL;DEFASAGEM;Destaque IEG;Destaque IDA;Destaque IPV
Aluno-289;2022;Escola Pública;Escola Pública;Escola Pública;RA-289;3;L;2008;14;Feminino;2020;Ametista;Quartzo;Ágata;6,236;AVANÇO;AVANÇO;OK;699;94;2;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;0;7,8;6,3;7,5;Sem limitações;6,8;5,3;7,5;7,5;Não;Não;7,25;5;Fase 4 (9º ano);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-29;2022;Escola Pública;Escola Pública;Escola Pública;RA-29;6;A;2005;17;Masculino;2022;;;Quartzo;4,985;INGRESSANTE;INGRESSANTE;OK;821;16;16;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase + Bolsa;Avaliador-28;Mantido na Fase atual;Avaliador-31;Alocado em Fase anterior;0;4;8,8;5,47;Requer avaliação;3,7;6,3;1,1;3,8;Sim;Não;7,611;5;Fase 7 (3º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-290;2022;Escola Pública;Escola Pública;Escola Pública;RA-290;3;L;2005;17;Feminino;2022;;;Quartzo;4,929;INGRESSANTE;INGRESSANTE;OK;830;131;7;4;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;10;3,9;6,3;6,09;Sem limitações;1,7;1;2,3;1,8;Não;Não;6,042;2,5;Fase 7 (3º EM);-4;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-291;2022;Escola Pública;Escola Pública;Escola Pública;RA-291;3;L;2009;13;Masculino;2022;;;Topázio;8,122;INGRESSANTE;INGRESSANTE;OK;107;18;1;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;8,3;8,2;6,9;5,83;Sem limitações;8;8;7,5;8,5;Sim;Não;7,792;10;Fase 3 (7º e 8º ano);0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-292;2022;Escola Pública;Escola Pública;Escola Pública;RA-292;3;L;2006;16;Masculino;2022;;;Quartzo;4,837;INGRESSANTE;INGRESSANTE;OK;833;134;9;4;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;7,9;3,7;7,5;6,88;Não atendido;1,8;0;5;0,5;Não;Não;6,292;2,5;Fase 6 (2º EM);-3;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-293;2022;Escola Pública;Escola Pública;Escola Pública;RA-293;3;L;2009;13;Masculino;2022;;;Quartzo;4,875;INGRESSANTE;INGRESSANTE;OK;831;132;8;4;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;8,8;2,9;7,5;5,31;Não atendido;2,3;2;3,8;1;Não;Não;3,333;10;Fase 3 (7º e 8º ano);0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-294;2022;Escola Pública;Escola Pública;Escola Pública;RA-294;3;L;2004;18;Feminino;2022;;;Quartzo;5,031;INGRESSANTE;INGRESSANTE;OK;819;127;6;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;9,6;5,8;7,5;7,34;Não atendido;0;;;;Não;Não;5,917;2,5;Fase 8 (Universitários);-5;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-295;2022;Escola Pública;Escola Pública;Escola Pública;RA-295;3;M;2008;14;Feminino;2022;;;Ametista;7,305;INGRESSANTE;INGRESSANTE;OK;386;45;2;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;7,9;8;7,5;7,97;Não atendido;6,9;5,3;7,7;7,7;Sim;Não;7,375;5;Fase 4 (9º ano);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-296;2022;Escola Pública;Escola Pública;Escola Pública;RA-296;3;M;2007;15;Feminino;2022;;;Quartzo;4,665;INGRESSANTE;INGRESSANTE;OK;839;137;16;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Alocado em Fase anterior;8,8;3,6;7,5;4,84;Não atendido;2,8;5,7;2,7;0,2;Não;Não;3,833;5;Fase 5 (1º EM);-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-297;2022;Escola Pública;Escola Pública;Escola Pública;RA-297;3;M;2009;13;Feminino;2022;;;Ametista;7,478;INGRESSANTE;INGRESSANTE;OK;324;36;1;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,1;7,9;6,3;6,04;Sem limitações;6,6;6,3;5,3;8,2;Sim;Não;7,417;10;Fase 3 (7º e 8º ano);0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
